,equivalence_class,Occurrence,Word count,total_docs
432,grape —,1,2,1
433,gravies,1,1,1
434,grill,10,3,3
435,grill bars,1,2,1
436,grilling,20,6,6
437,grilling cooks,1,2,1
438,growth,1,1,1
439,guidelines,1,1,1
440,ham,1,1,1
441,ham mesquite —,1,3,1
442,hams,1,1,1
443,hand,2,2,2
444,handling,1,1,1
445,hands,2,1,1
446,hardwoods,1,1,1
447,hazard,1,1,1
448,health purposes,1,2,1
449,heat,41,14,14
450,heat cooking,1,2,1
451,heat source,10,4,2
452,heat sources,2,2,1
453,heat sources gas,1,3,1
454,heating,1,1,1
455,heating element,1,2,1
456,heating element cooks,1,3,1
457,heavy-bottomed,1,1,1
458,heavy-flavored foods,1,2,1
459,herbs,4,3,3
460,hickory,1,1,1
461,high-heat baking,1,2,1
462,high-heat cooking process,1,3,1
463,history,1,1,1
464,hole,3,3,3
465,holiday,1,1,1
466,hot dogs,1,2,1
467,hotplate,1,1,1
468,hour,2,1,1
469,hours,2,2,2
470,house,1,1,1
471,house fires,1,2,1
472,humidity,1,1,1
473,ice crystals,1,2,1
474,ice water,1,2,1
475,igniting,1,1,1
476,immersing,1,1,1
477,immersing food,1,2,1
478,immersion,1,1,1
479,immersion cooker,3,4,2
480,immersion cooker temperature,1,3,1
481,immersion cooking,1,2,1
482,increase,3,2,2
483,indian dishes,1,2,1
484,indian usage,1,2,1
485,indirect heat,1,2,1
486,influence,1,1,1
487,infra-red,1,1,1
488,infra-red heat radiation,1,3,1
489,infra-red radiation,1,2,1
490,infra-red radiation works,1,3,1
491,infra-red waves,2,4,2
492,ingredient,3,3,3
493,ingredients,8,6,6
494,instance,1,1,1
495,instances meats,1,2,1
496,instant,1,1,1
497,insure,1,1,1
498,integral part,1,2,1
499,interchangeably,1,1,1
500,introduction,1,1,1
501,isn,1,1,1
502,issues,1,1,1
503,item,1,1,1
504,items need,1,2,1
505,japan forks,1,2,1
506,japanese oil solidifier,1,3,1
507,jar,2,2,2
508,jars,1,2,1
509,jelly roll pan,1,3,1
510,joints,1,1,1
511,juice,3,2,2
512,juices,1,1,1
513,jus,1,1,1
514,kettle,1,1,1
515,kind,1,1,1
516,kindling point,1,2,1
517,kitchen,3,3,3
518,kitchen fires,1,2,1
519,kitchen paper,1,2,1
520,lake trout,1,2,1
521,lamb,1,1,1
522,lard,1,1,1
523,layer,1,1,1
524,leached,1,1,1
525,least,1,1,1
526,lemon,1,1,1
527,length,1,1,1
528,liberates,1,1,1
529,lid,11,6,6
530,light,2,2,2
531,light bulb,1,2,1
532,light ones,1,2,1
533,lint,1,1,1
534,locations,1,1,1
535,loss,5,4,4
536,low-heat cooking process,1,3,1
537,maillard reaction,3,6,3
538,majority,1,1,1
539,manipulation,1,1,1
540,many,1,1,1
541,many pathogens,1,2,1
542,many recipes,1,2,1
543,many variations,1,2,1
544,maple,1,1,1
545,margarine,1,1,1
546,marinade,2,2,2
547,marinated meats,1,2,1
548,marlin,1,1,1
549,material,1,1,1
550,materials smoker,1,2,1
551,matrix,1,1,1
552,mayonnaise,1,1,1
553,measure oil,1,2,1
554,measures,1,1,1
555,meat,32,12,12
556,meat doesn,1,2,1
557,meat juices,1,2,1
558,meat returns,1,2,1
559,meat stock,1,2,1
560,meats,13,7,7
561,meats peach —,1,3,1
562,mechanics,1,1,1
563,mechanism,1,1,1
564,medium,3,2,2
565,medium heat,1,2,1
566,medium-high,1,1,1
567,medium-high heat,1,2,1
568,mediums,1,1,1
569,melting-point alloy,1,2,1
570,membrane,1,1,1
571,mesquite,1,1,1
572,metal,2,1,1
573,metal mesh,2,2,1
574,metal pan,1,2,1
575,metal range hood,1,3,1
576,metal tubing,1,2,1
577,metal utensils,1,2,1
578,method,18,13,13
579,method deep,1,2,1
580,method works,1,2,1
581,microwave,2,2,2
582,microwave radiation,1,2,1
583,middle,2,2,2
584,milk,7,2,2
585,milk containers,1,2,1
586,milk products,1,2,1
587,milk proteins,1,2,1
588,minced mixtures,1,2,1
589,mind,1,1,1
590,mineral salts,1,2,1
591,minute,6,5,5
592,misconceptions,1,1,1
593,mise,1,1,1
594,misnomer,1,1,1
595,mix,2,2,2
596,modernist  ,2,5,2
597,modification,1,1,1
598,moistness,1,1,1
599,moisture,11,5,5
600,moisture content,1,2,1
601,molasses,1,1,1
602,monitor,2,2,2
603,months,1,1,1
604,move,1,1,1
605,moves gently--never,1,2,1
606,mushrooms grill,1,2,1
607,muslin,1,1,1
608,napkins,1,1,1
609,need,2,2,2
610,next time,1,2,1
611,non-deep,1,1,1
612,non-stick  ,2,4,2
613,none,1,1,1
614,noodles,1,1,1
615,not,1,1,1
616,number,2,2,2
617,nutmeg,1,1,1
618,nutrients,1,1,1
619,nuts,1,1,1
620,oak,1,1,1
621,object,3,2,2
622,odor,2,2,2
623,oil,83,33,23
624,oil cause splatters,1,3,1
625,oil changes,1,2,1
626,oil content,1,2,1
627,oil coverage,1,2,1
628,oil disposal,1,2,1
629,oil ejects,1,2,1
630,oil fire,2,4,2
631,old timers,1,2,1
632,ones form,1,2,1
633,onion,7,4,4
634,onion family,1,2,1
635,operation,1,1,1
636,optionally,1,1,1
637,optionally pepper,1,2,1
638,order,3,3,3
639,other meanings,1,2,1
640,other sealing methods,1,3,1
641,others,1,1,1
642,others claim,1,2,1
643,outcome,2,2,2
644,oven,9,8,8
645,oven temperature,2,4,2
646,oven-proof pots,1,2,1
647,over-cooking,1,1,1
648,over-filled,1,1,1
649,overcrowding,1,1,1
650,oysters poultry,1,2,1
651,pair,1,1,1
652,pan,31,13,13
653,pan bottom,2,4,2
654,pan deep fryers,1,3,1
655,pan drippings,1,2,1
656,pan sauce,4,4,2
657,pan-searing,1,1,1
658,paper salt,1,2,1
659,paper towel,1,2,1
660,parboiling,4,3,3
661,parsley,1,1,1
662,part,1,1,1
663,parts,4,4,4
664,pasteurization,1,1,1
665,pastries,2,1,1
666,pat,1,1,1
667,path,1,1,1
668,peak times,1,2,1
669,peanut oil,1,2,1
670,peas,1,1,1
671,pellicles form,1,2,1
672,pellicles formation,1,2,1
673,people,1,1,1
674,pepper,1,1,1
675,peppermint,1,1,1
676,performance,1,1,1
677,period,3,3,3
678,person,3,2,2
679,piece,1,1,1
680,pieces,6,5,5
681,pieces briefly,1,2,1
682,pilot,1,1,1
683,pin,2,2,2
684,pipe,2,1,1
685,pipes,1,1,1
686,place,11,5,5
687,place egg,1,2,1
688,plastic,1,1,1
