,equivalence_class,Occurrence,Word count,tf,Document,IDF,tf-idf
289,vegetable,2,1,0.0425531914893617,Baking ,0.780158557549575,0.03319823649147127
290,vegetable,4,2,0.10526315789473684,Blanching ,0.780158557549575,0.08212195342627104
291,vegetable,3,2,0.027777777777777776,Boiling ,0.780158557549575,0.02167107104304375
292,vegetable,2,1,0.006666666666666667,Deep Frying ,0.780158557549575,0.0052010570503305
293,vegetable,2,2,0.037037037037037035,Deglazing ,0.780158557549575,0.028894761390725
294,vegetable,2,1,0.012903225806451613,Grilling ,0.780158557549575,0.010066562032897741
295,vegetable,1,1,0.03225806451612903,Roasting ,0.780158557549575,0.025166405082244353
296,vegetable,2,1,0.008620689655172414,Smoking ,0.780158557549575,0.006725504806461853
297,vegetable,1,1,0.027777777777777776,Steaming ,0.780158557549575,0.02167107104304375
298,vegetable,2,1,0.023809523809523808,Stewing ,0.780158557549575,0.018575203751180356
299,vegetable,2,1,0.05263157894736842,Stir Frying ,0.780158557549575,0.04106097671313552
300,anything,1,1,0.05263157894736842,Basting ,2.4849066497880004,0.1307845605151579
301,anything,1,1,0.004310344827586207,Smoking ,2.4849066497880004,0.010710804524948277
302,baste,1,1,0.05263157894736842,Basting ,2.0794415416798357,0.10944429166735976
303,baste,1,1,0.02631578947368421,Blanching ,2.0794415416798357,0.05472214583367988
304,baste,1,1,0.009259259259259259,Boiling ,2.0794415416798357,0.019254088348887366
305,baster,1,1,0.05263157894736842,Basting ,2.0794415416798357,0.10944429166735976
306,baster,1,1,0.02631578947368421,Blanching ,2.0794415416798357,0.05472214583367988
307,baster,1,1,0.009259259259259259,Boiling ,2.0794415416798357,0.019254088348887366
308,basting,2,1,0.10526315789473684,Basting ,3.1780538303479458,0.334531982141889
309,color,2,1,0.10526315789473684,Basting ,1.5686159179138452,0.16511746504356264
310,color,3,2,0.07894736842105263,Blanching ,1.5686159179138452,0.12383809878267199
311,color,2,1,0.018518518518518517,Boiling ,1.5686159179138452,0.029048442924330467
312,color,2,1,0.012903225806451613,Grilling ,1.5686159179138452,0.020240205392436712
313,color,6,2,0.07142857142857142,Stewing ,1.5686159179138452,0.11204399413670323
314,cooking,2,1,0.10526315789473684,Basting ,0.3448404862917296,0.03629899855702416
315,cooking,2,1,0.018518518518518517,Boiling ,0.3448404862917296,0.0063859349313283255
316,cooking,1,1,0.02564102564102564,Clay Pot ,0.3448404862917296,0.00884206375106999
317,cooking,3,1,0.04918032786885246,Cockaigne ,0.3448404862917296,0.016959368178281784
318,cooking,1,1,0.0033333333333333335,Deep Frying ,0.3448404862917296,0.0011494682876390988
319,cooking,2,1,0.09090909090909091,Frying ,0.3448404862917296,0.03134913511742996
320,cooking,9,1,0.05806451612903226,Grilling ,0.3448404862917296,0.02002299597822946
321,cooking,5,1,0.1111111111111111,Poaching ,0.3448404862917296,0.03831560958796995
322,cooking,3,1,0.061224489795918366,Pressure Cooking ,0.3448404862917296,0.021112682834187525
323,cooking,2,1,0.0273972602739726,Sauteing ,0.3448404862917296,0.009447684555937797
324,cooking,1,1,0.01639344262295082,Scalding ,0.3448404862917296,0.005653122726093928
325,cooking,4,1,0.10526315789473684,Simmering ,0.3448404862917296,0.03629899855702416
326,cooking,3,1,0.01293103448275862,Smoking ,0.3448404862917296,0.004459144219289606
327,cooking,2,1,0.029850746268656716,Sous Vide ,0.3448404862917296,0.010293745859454615
328,cooking,2,1,0.05555555555555555,Steaming ,0.3448404862917296,0.019157804793984975
329,cooking,5,1,0.05952380952380952,Stewing ,0.3448404862917296,0.02052621942212676
330,cooking,2,1,0.05263157894736842,Stir Frying ,0.3448404862917296,0.01814949927851208
331,cooking process,1,2,0.05263157894736842,Basting ,1.3862943611198906,0.07296286111157319
332,cooking process,2,2,0.05263157894736842,Blanching ,1.3862943611198906,0.07296286111157319
333,cooking process,1,2,0.009259259259259259,Boiling ,1.3862943611198906,0.012836058899258245
334,cooking process,1,2,0.02564102564102564,Clay Pot ,1.3862943611198906,0.035546009259484375
335,cooking process,1,2,0.045454545454545456,Frying ,1.3862943611198906,0.06301338005090412
336,cooking process,1,2,0.027777777777777776,Steaming ,1.3862943611198906,0.03850817669777474
337,doing,1,1,0.05263157894736842,Basting ,3.1780538303479458,0.1672659910709445
338,kitchen,1,1,0.05263157894736842,Basting ,2.0794415416798357,0.10944429166735976
339,kitchen,1,1,0.02631578947368421,Blanching ,2.0794415416798357,0.05472214583367988
340,kitchen,1,1,0.009259259259259259,Boiling ,2.0794415416798357,0.019254088348887366
341,meat,3,1,0.15789473684210525,Basting ,0.6931471805599453,0.10944429166735978
342,meat,1,1,0.02631578947368421,Blanching ,0.6931471805599453,0.018240715277893296
343,meat,2,1,0.018518518518518517,Boiling ,0.6931471805599453,0.012836058899258245
344,meat,1,1,0.0033333333333333335,Deep Frying ,0.6931471805599453,0.0023104906018664843
345,meat,3,1,0.05555555555555555,Deglazing ,0.6931471805599453,0.03850817669777474
346,meat,5,1,0.03225806451612903,Grilling ,0.6931471805599453,0.022359586469675653
347,meat,3,1,0.0967741935483871,Roasting ,0.6931471805599453,0.06707875940902697
348,meat,2,1,0.0273972602739726,Sauteing ,0.6931471805599453,0.018990333713971103
349,meat,1,1,0.02631578947368421,Simmering ,0.6931471805599453,0.018240715277893296
350,meat,2,1,0.008620689655172414,Smoking ,0.6931471805599453,0.005975406728965045
351,meat,7,1,0.08333333333333333,Stewing ,0.6931471805599453,0.057762265046662105
352,meat,2,1,0.05263157894736842,Stir Frying ,0.6931471805599453,0.03648143055578659
353,method,1,1,0.05263157894736842,Basting ,0.6931471805599453,0.03648143055578659
354,method,1,1,0.009259259259259259,Boiling ,0.6931471805599453,0.006418029449629123
